idJob,idUser,HasCandidated,DateRecord,computeLifeTime,nbrFoisOccupe,nbrFoisPosteClic,nbrFoisPosteLike,nbrFoisPosteComment,nbrFoisPosteCandid,computedExpDiff,computeCorrespDipl,computeCorrespTags,computeCorrespLangs,PageSubscribed,TotBusPostsLikedByUser,TotBusPostsCommByUser,TotPageVisitsByUser,likes,saves,clicks,applications,comments,totLikes,totJobSaves,totJobClicks,totApplications,totComments,totFollowers,totBusPageVisits
124,0,0,2/1/2019,2,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.049482163,0.000575374,0,0.001042391,0,1,0.004951355,0.000347464,0.268722467,0.037944003
43,4,0,2/1/2019,22,0,16,1,2,0,0.000350877,1,0,90,0,2,2,32,0.001134108,0,0.119081372,0.004536433,0.001701162,0.00789177,0,1,0.025930101,0.00789177,0.29245283,0.106747231
44,4,0,2/1/2019,22,0,7,1,0,0,0.000350877,1,1,90,0,2,2,32,0.000815661,0,0.12697118,0.001903208,0.000271887,0.00789177,0,1,0.025930101,0.00789177,0.29245283,0.106747231
139,4,0,2/1/2019,20,0,31,4,0,1,0.000350877,1,0,60,1,2,0,99,0.001395349,0,0.119534884,0.003255814,0,0.005995415,0,0.999823664,0.019573268,0.006348087,0.281144781,0.094888179
70,0,0,2/1/2019,9,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0.000412541,0,0.052392739,0.000412541,0,0.001042391,0,1,0.004951355,0.000347464,0.268722467,0.037944003
139,0,0,2/1/2019,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0.001395349,0,0.119534884,0.003255814,0,0.005995415,0,0.999823664,0.019573268,0.006348087,0.281144781,0.094888179
139,621,1,2/1/2019,20,0,3,1,0,1,0.006666667,2,0,54,1,1,0,32,0.001395349,0,0.119534884,0.003255814,0,0.005995415,0,0.999823664,0.019573268,0.006348087,0.281144781,0.094888179
88,0,0,2/1/2019,29,0,0,0,0,0,-0.005555556,0,0,0,0,0,0,0,0.000377501,0,0.13590034,0.002265006,0,0.004139073,0,0.999172185,0.008278146,0,0.323529412,0.053333333
132,0,0,2/1/2019,28,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0.000394789,0,0.082510857,0.000789578,0,0.005163511,0,0.99827883,0.008605852,0,0.197183099,0.10906298
136,2181,1,2/1/2019,23,0,2,0,0,1,1,1,1,43,0,0,0,2,0.000412541,0,0.150990099,0.004950495,0.000825083,0.005074786,0,1,0.022702991,0.005876068,0.269360269,0.136929461
139,2080,1,2/1/2019,20,0,3,0,0,1,0.006993007,2,1,60,0,0,0,11,0.001395349,0,0.119534884,0.003255814,0,0.005995415,0,0.999823664,0.019573268,0.006348087,0.281144781,0.094888179
60,1,0,2/1/2019,10,0,75,0,0,1,0.000407664,3,0,15,1,0,0,5,0,0,0.063271605,0.003858025,0,0,0,1,0.03314121,0,0.405405405,0.096354167
103,1,0,2/1/2019,18,0,10,0,0,0,0.000355492,3,0,35,1,0,0,10,0.002343018,0,0.076382381,0.002811621,0.000937207,0.017199017,0,1,0.027027027,0.00982801,0.234042553,0.103524229
123,0,0,2/1/2019,2,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.041055718,0.002932551,0,0.001042391,0,1,0.004951355,0.000347464,0.268722467,0.037944003
52,2067,1,2/1/2019,29,0,4,0,0,1,0.000462963,3,0,25,0,0,0,4,0.000974659,0,0.22417154,0.003898635,0.000974659,0.004347826,0,1,0.017391304,0.004347826,1.71875,0.122137405
139,2100,0,2/1/2019,20,0,3,0,0,0,0.006578947,4,0,51,0,0,0,1,0.001395349,0,0.119534884,0.003255814,0,0.005995415,0,0.999823664,0.019573268,0.006348087,0.281144781,0.094888179
86,833,1,2/1/2019,1,1,9,1,0,1,0.004694836,1,1,18,1,1,0,14,0.002711497,0,0.139370933,0.00867679,0.001626898,0.010606061,0,1,0.048484848,0.006060606,0.185840708,0.1461837
119,833,0,2/1/2019,2,0,5,0,0,0,-0.006802721,0,1,13,0,0,0,3,0,0,0.090981013,0.001582278,0,0.001042391,0,1,0.004951355,0.000347464,0.268722467,0.037944003
31,2048,0,2/1/2019,28,0,1,0,0,0,1,0,0,0,0,0,0,2,0.002039429,0,0.420292318,0.01053705,0.003908906,0.005995415,0,0.999823664,0.019573268,0.006348087,0.281144781,0.094888179
79,2048,0,2/1/2019,3,0,3,1,0,0,-0.000694444,0,0,0,0,0,0,1,0,0,0.073679538,0.000887705,0.000887705,0.004899559,0,0.999510044,0.020578148,0.005389515,0.172307692,0.137420719
93,2048,0,2/1/2019,22,0,1,0,0,0,-0.000694444,0,0,0,0,0,0,1,0.000424809,0,0.067969414,0.000424809,0.000424809,0.017199017,0,1,0.027027027,0.00982801,0.234042553,0.103524229
135,1726,1,2/1/2019,24,0,7,0,0,1,0.000974659,1,0,96,0,0,0,5,0.000444247,0,0.074189249,0.000444247,0,0.003527337,0,0.998236332,0.008818342,0.003527337,0.296296296,0.087096774
111,2048,0,2/1/2019,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0554371,0.002132196,0,0,0,1,0.03314121,0,0.405405405,0.096354167
77,0,0,2/1/2019,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000766284,0,0.103448276,0.001532567,0.000383142,0.005074786,0,1,0.022702991,0.005876068,0.269360269,0.136929461
118,0,0,2/1/2019,2,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.061190277,0,0,0.001042391,0,1,0.004951355,0.000347464,0.268722467,0.037944003
44,0,0,2/1/2019,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000815661,0,0.12697118,0.001903208,0.000271887,0.00789177,0,1,0.025930101,0.00789177,0.29245283,0.106747231
98,0,0,2/1/2019,25,0,0,0,0,0,-0.000222222,0,0,0,0,0,0,0,0,0,0.029223379,0,0,0.007936508,0,1,0.018925519,0.022588523,0.203065134,0.137440758
136,2048,0,2/1/2019,23,0,1,0,0,0,1,0,0,0,0,0,0,1,0.000412541,0,0.150990099,0.004950495,0.000825083,0.005074786,0,1,0.022702991,0.005876068,0.269360269,0.136929461
81,0,0,2/1/2019,29,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0.000939408,0,0.032879286,0,0,0.028776978,0,1,0,0,0.619047619,0.13125
102,1663,1,2/1/2019,18,1,22,0,0,8,0.001430615,1,0,26,0,0,0,6,0.000484496,0,0.064922481,0.002906977,0,0.004424779,0,1,0.015486726,0.002212389,0.448275862,0.06029106
132,1663,1,2/1/2019,28,1,22,0,0,8,-0.004975124,1,0,21,0,0,0,5,0.000394789,0,0.082510857,0.000789578,0,0.005163511,0,0.99827883,0.008605852,0,0.197183099,0.10906298
139,1663,0,2/1/2019,20,0,1,0,0,0,0.000807103,1,0,36,0,0,0,5,0.001395349,0,0.119534884,0.003255814,0,0.005995415,0,0.999823664,0.019573268,0.006348087,0.281144781,0.094888179
138,0,0,2/1/2019,23,0,0,0,0,0,-0.005555556,0,0,0,0,0,0,0,0.000696864,0,0.112891986,0.000696864,0,0.00617284,0,1,0.00617284,0,0.235294118,0.094972067
